council,url,twitter_url,twitter_name
"Bournemouth, Christchurch and Poole Borough Council",https://www.bcpcouncil.gov.uk/,,
Oadby and Wigston Borough Council,https://www.oadby-wigston.gov.uk/,,
Folkestone and Hythe District Council,https://www.folkestone-hythe.gov.uk/,,
Somerset West and Taunton Council,https://www.somersetwestandtaunton.gov.uk/,,
West Suffolk Council,https://www.westsuffolk.gov.uk/,,
"Newcastle Upon Tyne, North Tyneside and Northumberland Combined Authority",https://www.northoftyne-ca.gov.uk/,,
North Northamptonshire Council,https://www.northnorthants.gov.uk/,,
West Northamptonshire Council,https://www.westnorthants.gov.uk/,,
Cambridgeshire and Peterborough Combined Authority,http://www.cambspboroca.org/,,
Greater Manchester Combined Authority,https://www.greatermanchester-ca.gov.uk/,,
Liverpool City Region Combined Authority,http://www.liverpoolcityregion-ca.gov.uk/,,
North East Combined Authority,http://www.northeastca.gov.uk/,,
Sheffield City Region Combined Authority,https://sheffieldcityregion.org.uk/,,
Tees Valley Combined Authority,https://teesvalley-ca.gov.uk/,,
West of England Combined Authority,https://www.westofengland-ca.org.uk/,,
West Midlands Combined Authority,https://westmidlandscombinedauthority.org.uk/,,
West Yorkshire Combined Authority,https://www.westyorks-ca.gov.uk/,,
South Yorkshire Mayoral Combined Authority,https://southyorkshire-ca.gov.uk/,,
Greater London Authority,https://www.london.gov.uk/,,
