council,council_type,council_region,control_at_declaration,control_now,leader,proposer,made_declaration,date_made,motion_link,ref_to_adaptation,ecological_emergency,ref_to_nature,call_to_gov,carbon_neutral_date,carbon_neutral_whole_date,notes,motion_url,authority_code,gss_code
Aberdeen City Council,Unitary Scotland,Scotland,,NOC,CON+IND,,N,,Link (turned down motion),,No,None,,2045.0,None (Vision document says target will be set with strategy),,#NAME?,ABE,S12000033
Aberdeenshire Council,Unitary Scotland,Scotland,,NOC,CON+LD+IND,,"N but made a climate change declaration which ""recognises the world faces a climate challenge""",,Link to climate change declaration,No,No,"Yes ""promoting biodiversity;""",No,,"2045 ""Work with others across the region to ensure that Aberdeenshire reaches Net Zero by 2045""",,#NAME?,ABD,S12000034
Adur District Council,District,England,Con,Con,Con maj,Conservative,Y,18/07/2019,Link,No,No,None,Yes,2030.0,"2050

Also confirmed as 2050 from this Scatter report",,#NAME?,ADU,E07000223
Allerdale Borough Council,District,England,NOC,NOC,IND+CON,Labour,Y (used the word 'emergency'),25/09/2019,Link,No,No,Yes (Environment),Yes,2030.0,2030 (confirmed),,#NAME?,ALL,E07000026
Amber Valley Borough Council,District,England,Lab,Con,Con maj,Labour,Y,24/07/2019,Link,No,No,None,Yes,2030.0,None,,#NAME?,AMB,E07000032
Angus Council,Unitary Scotland,Scotland,NOC,NOC,Con + Lib Dem + Ind,SNP,Y,05/09/2019,Link,Yes,No,"Yes ""We recognise the importance of biodiversity, land use and our natural environment in our drive to reduce the impact of climate change.""",No,2045.0,2045,,#NAME?,ANS,S12000041
Antrim and Newtownabbey Borough Council,Unitary NI,Northern Ireland,,NOC,DUP min,,N,,,,No,None,,,None,,#NAME?,ANN,N09000001
Ards and North Down Council,Unitary NI,Northern Ireland,NOC,NOC,DUP min,Green,Y,27/02/2019,Link,Yes,No,None,No (mentioned in minutes but not in resolution),,None (2030 is mentioned in the minutes but is not passed in the resolution. Confirmed here),,#NAME?,AND,N09000011
Argyll and Bute Council,Unitary Scotland,Scotland,NOC,NOC,CON+LD+IND,Lib Dem,"Y (updated from just ""Recognises the growing concerns about the climate change emergency"" on 26th Sept 2019)",30/09/2021,Link,No,No,No,No,2045.0,None,,#NAME?,AGB,S12000035
"Armagh City, Banbridge and Craigavon Borough Council",Unitary NI,Northern Ireland,NOC,NOC,DUP min,,N (checking with Cllr),,,,No,No,,,None,,#NAME?,ABC,N09000002
Arun District Council,District,England,NOC,NOC,Lib Dem min,Lib Dem,Y,15/01/2020,Link,No,No,Later approved motion to highlight biodiversity crisis,No,2030.0,None,,#NAME?,ARU,E07000224
Ashfield District Council,District,England,,IND,IND maj,,N,,,,No,No,,,None,,#NAME?,ASH,E07000170
Ashford Borough Council,District,England,,Con,Con maj,,N,,Link to 2030 motion passed,,No,No,No,2030.0,"2030 ""Ashford Borough and Ashford Borough Council will aim to become carbon neutral by 2030, and 80% by 2025.""",,#NAME?,ASF,E07000105
Babergh District Council,District,England,NOC,NOC,Con + Lib Dem + IND,Conservative,Y,23/07/2019,Link,No,No,None,"Yes ""work with""",2030.0,2030,,#NAME?,BAB,E07000200
Barnsley Metropolitan Borough Council,Metro Boro,England,Lab,Lab,Lab maj,Labour,Y,18/09/2019,Link,No,No,None,No,2040.0,2045,,#NAME?,BNS,E08000016
Barrow-in-Furness Borough Council,District,England,Lab,Lab,Lab maj,Labour,Y,16/07/2019,Link,No,No,None,No,2037.0,2037,,#NAME?,BAR,E07000027
Basildon Borough Council,District,England,,Con,Con maj,,N,,,,No,No,,2050.0,2050,,#NAME?,BAI,E07000066
Basingstoke and Deane Borough Council,District,England,Con,Con,Con maj,Conservative + Labour + Liberal Democrat,Y,18/07/2019,Link,No,No,"Yes ""strategic actions needed to address the environment and climate emergency""",No,2025.0,2030,,#NAME?,BAN,E07000084
Bassetlaw District Council,District,England,,Lab,Lab maj,,N,,,,No,No,,,None,,#NAME?,BAE,E07000171
Bath and North East Somerset Council,Unitary Eng,England,Lib Dem,Lib Dem,Lib dem maj,Liberal Democrat,Y,14/03/2019,Link,No,"Yes - separate July 2020 ""Ecological Emergency""",Yes,No,2030.0,2030,,#NAME?,BAS,E06000022
Bedford Borough Council,District,England,NOC,NOC,Lib Dem Mayor,Liberal Democrat,Y,05/03/2019,Link,No,No,None,"Yes ""Work with local MPs to call on the UK government""",2030.0,None,,#NAME?,BDF,E06000055
Belfast City Council,Unitary NI,Northern Ireland,NOC,NOC,Sinn Fein min,Green,Y,01/10/2019,Link,Yes,No,None,Yes - Central and Devolved,,None,,#NAME?,BFS,N09000003
Birmingham City Council,Metro Boro,England,Lab,Lab,Lab maj,Conservative + Labour + Liberal Democrat + Green,Y,11/06/2019,Link,No,No,None,"Yes ""to work with and seek from the UK government""",2030.0,2030,,#NAME?,BIR,E08000025
Blaby District Council,District,England,,Con,Con maj,,N,,,,No,No,,2030.0,2050,,#NAME?,BLA,E07000129
Blackburn with Darwen Borough Council,Unitary Eng,England,Lab,Lab,Lab maj,Labour,Y,18/07/2019,Link,No,No,"Yes in preamble ""loss of biodiversity including insects and vital food crop pollinators.
""","Yes ""Actively lobby""",2030.0,2030,,#NAME?,BBD,E06000008
Blackpool Borough Council,Unitary Eng,England,Lab,Lab,Lab maj,Labour,Y,26/06/2019,Link,No,No,Yes,Yes,2030.0,2030 (may have been dropped),,#NAME?,BPL,E06000009
Blaenau Gwent County Borough Council,Unitary Wales,Wales,Ind,Ind,Ind maj,Independent,Y,28/09/2020,Link,No,No,None,No,2030.0,2050 (couldn't confirm),,#NAME?,BGW,W06000019
Bolsover District Council,District,England,,NOC,Lab + Ind,,N,,,,No,None,,2050.0,None,,#NAME?,BOS,E07000033
Bolton Metropolitan Borough Council,Metro Boro,England,NOC,NOC,Con min,Labour,Y,29/08/2019,Link,No,No,None,Yes,2030.0,2030,,#NAME?,BOL,E08000001
Boston Borough Council,District,England,NOC,NOC,Con min,Conservative + Labour ,Y,20/01/2020,Link,No,Yes (Climate and Environment),Yes,Yes,2050.0,None,,#NAME?,BOT,E07000136
"Bournemouth, Christchurch and Poole",Unitary Eng,England,NOC,NOC,Lab + Lib Dem + Green + Ind,Green,Y,16/07/2019,Link,No,"Yes ""Climate and Ecological""",Yes,Yes,2030.0,2050,,#NAME?,BPC,E06000058
Bracknell Forest Council,Unitary Eng,England,,Con,Con maj,,N,,,,No,None,,2050.0,None,,#NAME?,BRC,E06000036
Bradford Metropolitan District Council,Metro Boro,England,Lab,Lab,Lab maj,Green,Y,15/01/2019,Link,No,No,None,"Yes ""Requests that the Chief Executive writes to Government requesting: a) additional funding and powers to enable us to deliver the Paris agreement""",2038.0,2038,,#NAME?,BRD,E08000032
Braintree District Council,District,England,Con,Con,Con maj,Conservative,Y,22/07/2019,Link,No,No,None,No,2030.0,None,,#NAME?,BRA,E07000067
Breckland District Council,District,England,Con,Con,Con maj,Labour,Y,19/09/2019,Link,No,No,No (deleted points 2-6 of motion that did reference biodiversity),No (deleted points 2-6),2035.0,"2035 ""The Council is committed to achieving carbon neutrality within the District by 2035.""",,#NAME?,BRE,E07000143
Brentwood Borough Council,District,England,,Con,Con maj,,N,,,,No,No,,2040.0,None,,#NAME?,BRW,E07000068
Bridgend County Borough Council,Unitary Wales,Wales,NOC,NOC,Lab min,,Y,22/07/2022,Link,No,No,No,Yes,2030.0,None,,#NAME?,BGE,W06000013
Brighton and Hove City Council,Unitary Eng,England,NOC,NOC,Lab min,Green,Y,13/12/2018,Link,No,"Yes ""Climate and Biodiversity""",Yes,"Yes ""chancellor of exchequer""",2030.0,2030,,#NAME?,BNH,E06000043
Bristol City Council,Unitary Eng,England,Lab,NOC,Lab min,Green,Y,13/11/2018,Link,No,Yes - separate 4/02/2020 (Ecological),Yes,Yes,2025.0,2030,,#NAME?,BST,E06000023
Broadland District Council,District,England,,Con,Con maj,,N,,Link to motion turned down,,No,No,,,None,,#NAME?,BRO,E07000144
Bromsgrove District Council,District,England,Con,Con,Con maj,Liberal Democrat,Y,24/07/2019,Link,No,No,No,No,,None,,#NAME?,BRM,E07000234
Broxbourne Borough Council,District,England,,Con,Con maj,,N,,,,No,No,,,None,,#NAME?,BRX,E07000095
Broxtowe Borough Council,District,England,NOC,NOC,Lab + Lib Dem + Ind,Labour,Y,17/07/2019,Link,No,No,No,No,2027.0,None,,#NAME?,BRT,E07000172
Buckinghamshire Council,Unitary Eng,England,New Council,Con,Con maj,Con,N (but passed climate change motion),15/07/2020,Link,No,No,No,No,2050.0,2050,,#NAME?,BUC,E06000060
Burnley Borough Council,District,England,Lab,NOC,Lab + Lib Dem,Green,Y,10/07/2019,Link,No,No,No,Yes - call on Lancashire County Council and Westminster,2030.0,2030,,#NAME?,BUN,E07000117
